id,name,img,price,shop
1759,"铭能 XS2180 设计师商用家用办公游戏台式,主机10元升级配置链接",//img10.360buyimg.com/n7/jfs/t1/90584/14/29532/78526/63105adbE77d49241/0e3948e262bdde26.jpg.avif,10,铭能电脑京东直营旗舰店
2592,"铭能 XS2180 设计师商用办公游戏台式,主机10元升级配置链接",//img11.360buyimg.com/n7/jfs/t1/90584/14/29532/78526/63105adbE77d49241/0e3948e262bdde26.jpg.avif,10,铭能电脑京东直营旗舰店
5401,铭能 F15 商务娱乐网课办公家用笔记本10元升级配置链接,//img11.360buyimg.com/n7/jfs/t1/90584/14/29532/78526/63105adbE77d49241/0e3948e262bdde26.jpg.avif,10,铭能电脑京东直营旗舰店
5587,铭能 F15 商务娱乐网课办公家用笔记本10元升级配置链接,//img11.360buyimg.com/n7/jfs/t1/90584/14/29532/78526/63105adbE77d49241/0e3948e262bdde26.jpg.avif,10,铭能电脑京东直营旗舰店
5986,铭能 F15 商务办公家用笔记本10元升级配置链接,//img14.360buyimg.com/n7/jfs/t1/90584/14/29532/78526/63105adbE77d49241/0e3948e262bdde26.jpg.avif,10,铭能电脑京东直营旗舰店
175,"众迷 i3-12100F /16G/GTX1650 4G 办公游戏组装,台式机主机整机DIY组装机 DIY 定金专拍",//img10.360buyimg.com/n7/jfs/t1/184408/10/28253/85038/633fc75dE6e1cec4b/c836b71ab21e1b6b.jpg.avif,100,众迷旗舰店
199,"众迷 i3-12100F /16G/GTX1650 4G 办公游戏组装,台式机主机整机DIY组装机 DIY 定金专拍",//img10.360buyimg.com/n7/jfs/t1/184408/10/28253/85038/633fc75dE6e1cec4b/c836b71ab21e1b6b.jpg.avif,100,众迷旗舰店
235,"众迷 i3-12100F /16G/GTX1650 4G 办公游戏组装,台式机主机整机DIY组装机 DIY 定金专拍",//img10.360buyimg.com/n7/jfs/t1/184408/10/28253/85038/633fc75dE6e1cec4b/c836b71ab21e1b6b.jpg.avif,100,众迷旗舰店
3834,威嵌沃（VINcanWO）微型工控机嵌入式全封闭迷你工控主机商务办公便携式小型台式机,//img10.360buyimg.com/n7/jfs/t1/196890/13/25866/253850/62c9385dE2d3332e8/b6a823d94f72964f.jpg.avif,100,威嵌沃（VINcanWO）京东自营旗舰店
4196,威嵌沃（VINcanWO）微型工控机嵌入式全封闭迷你工控主机商务办公便携式小型台式机,//img10.360buyimg.com/n7/jfs/t1/196890/13/25866/253850/62c9385dE2d3332e8/b6a823d94f72964f.jpg.avif,100,威嵌沃（VINcanWO）京东自营旗舰店
